"scientific_name","taxon_family_name"
"Acer saccharinum","Sapindaceae"
"Achillea","Asteraceae"
"Achillea millefolium","Asteraceae"
"Acmispon americanus","Fabaceae"
"Aegilops cylindrica","Poaceae"
"Agoseris glauca","Asteraceae"
"Agropyron","Poaceae"
"Agropyron cristatum","Poaceae"
"Agrostis","Poaceae"
"Alopecurus aequalis","Poaceae"
"Alyssum desertorum","Brassicaceae"
"Amaranthaceae","Amaranthaceae"
"Amaranthus","Amaranthaceae"
"Amaranthus albus","Amaranthaceae"
"Ambrosia","Asteraceae"
"Ambrosia acanthicarpa","Asteraceae"
"Amelanchier","Rosaceae"
"Amsinckia","Boraginaceae"
"Amsinckia lycopsoides","Boraginaceae"
"Amsinckia menziesii","Boraginaceae"
"Amsinckia menziesii menziesii","Boraginaceae"
"Amygdaloideae","Rosaceae"
"Angiospermae",NA
"Antennaria","Asteraceae"
"Antennaria rosea","Asteraceae"
"Anthriscus caucalis","Apiaceae"
"Apioideae","Apiaceae"
"Apocynum","Apocynaceae"
"Apocynum cannabinum","Apocynaceae"
"Aristida purpurea","Poaceae"
"Artemisia","Asteraceae"
"Artemisia cana","Asteraceae"
"Artemisia dracunculus","Asteraceae"
"Artemisia frigida","Asteraceae"
"Artemisia ludoviciana","Asteraceae"
"Artemisia tridentata","Asteraceae"
"Artemisia tridentata tridentata","Asteraceae"
"Artemisiinae","Asteraceae"
"Asclepias fascicularis","Apocynaceae"
"Asclepias speciosa","Apocynaceae"
"Asparagus","Asparagaceae"
"Asperugo procumbens","Boraginaceae"
"Asteraceae","Asteraceae"
"Astereae","Asteraceae"
"Asteroideae","Asteraceae"
"Batrachium","Ranunculaceae"
"Berberis aquifolium","Berberidaceae"
"Betula occidentalis","Betulaceae"
"Bidens frondosa","Asteraceae"
"Boechera","Brassicaceae"
"Boechera pauciflora","Brassicaceae"
"Bouteloua gracilis","Poaceae"
"Brassicaceae","Brassicaceae"
"Bromus briziformis","Poaceae"
"Bromus inermis","Poaceae"
"Bromus squarrosus","Poaceae"
"Bromus tectorum","Poaceae"
"Buglossoides arvensis","Boraginaceae"
"Camelina microcarpa","Brassicaceae"
"Caninae","Rosaceae"
"Capsella bursa-pastoris","Brassicaceae"
"Carduinae","Asteraceae"
"Carduoideae","Asteraceae"
"Carex","Cyperaceae"
"Carex pellita","Cyperaceae"
"Celtis reticulata","Cannabaceae"
"Cenchrus","Poaceae"
"Centaurea cyanus","Asteraceae"
"Cerasus","Rosaceae"
"Chaenactis","Asteraceae"
"Chaenactis douglasii","Asteraceae"
"Chenopodium album","Amaranthaceae"
"Chenopodium berlandieri","Amaranthaceae"
"Chondrilla juncea","Asteraceae"
"Chorispora tenella","Brassicaceae"
"Chrysothamnus","Asteraceae"
"Chrysothamnus viscidiflorus","Asteraceae"
"Cichorieae","Asteraceae"
"Cirsium arvense","Asteraceae"
"Cirsium vulgare","Asteraceae"
"Claytonia","Montiaceae"
"Claytonia parviflora","Montiaceae"
"Claytonia perfoliata","Montiaceae"
"Claytonia rubra","Montiaceae"
"Clematis","Ranunculaceae"
"Clematis ligusticifolia","Ranunculaceae"
"Clematis vitalba","Ranunculaceae"
"Cleomella serrulata","Cleomaceae"
"Collinsia parviflora","Plantaginaceae"
"Cornus alba","Cornaceae"
"Cornus sericea","Cornaceae"
"Crataegus douglasii","Rosaceae"
"Cupressaceae","Cupressaceae"
"Cynoglossum officinale","Boraginaceae"
"Cyperus squarrosus","Cyperaceae"
"Descurainia","Brassicaceae"
